,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Adrian Dantley,Utah Jazz,79.0,40.2,0.9,0.558,24.6,0.652,14.6,4.2,4.7,0.5488,82.0,0.116,0.9634,1984
1,Mark Aguirre,Dallas Mavericks,79.0,39.9,1.3,0.528,23.5,0.572,9.0,3.7,4.1,0.5244,82.0,0.037,0.9634,1984
2,Kiki Vandeweghe,Denver Nuggets,78.0,37.3,1.3,0.562,23.6,0.618,10.3,3.6,3.9,0.4634,82.0,0,0.9512,1984
3,Alex English,Denver Nuggets,82.0,37.1,2.2,0.529,22.2,0.57,8.2,3.4,3.9,0.4634,82.0,0,1.0,1984
4,Bernard King,New York Knicks,77.0,33.5,1.2,0.572,22.7,0.619,12.1,4.5,4.3,0.5732,82.0,0.491,0.939,1984
5,George Gervin,San Antonio Spurs,76.0,32.9,1.6,0.493,19.3,0.551,5.5,0.1,1.3,0.4512,82.0,0,0.9268,1984
6,Larry Bird,Boston Celtics,79.0,40.9,2.7,0.497,24.2,0.552,13.6,7.6,7.3,0.7561,82.0,0.858,0.9634,1984
7,Mike Mitchell,San Antonio Spurs,79.0,31.7,1.7,0.49,17.1,0.525,5.5,-1.7,0.2,0.4512,82.0,0,0.9634,1984
9,Purvis Short,Golden State Warriors,79.0,31.4,1.4,0.48,16.9,0.529,6.0,0.0,1.5,0.4512,82.0,0,0.9634,1984
10,Moses Malone,Philadelphia 76ers,71.0,37.5,2.5,0.483,21.8,0.566,9.5,0.8,1.8,0.6341,82.0,0.046,0.8659,1984
11,Rolando Blackman,Dallas Mavericks,81.0,30.6,1.2,0.547,19.8,0.596,9.8,2.4,3.3,0.5244,82.0,0,0.9878,1984
12,Julius Erving,Philadelphia 76ers,77.0,33.3,3.6,0.515,22.9,0.562,10.1,5.9,5.3,0.6341,82.0,0.129,0.939,1984
13,World B. Free,Cleveland Cavaliers,75.0,28.2,1.4,0.453,18.8,0.512,5.3,1.4,2.0,0.3415,82.0,0.001,0.9146,1984
14,Jeff Ruland,Washington Bullets,75.0,38.4,1.9,0.579,19.6,0.633,9.3,2.6,3.6,0.4268,82.0,0.05,0.9146,1984
15,Eddie Johnson,Atlanta Hawks,82.0,31.0,1.2,0.492,16.6,0.528,5.6,0.0,1.5,0.4878,82.0,0,1.0,1984
16,Dominique Wilkins,Atlanta Hawks,81.0,30.4,2.5,0.479,19.2,0.531,7.0,1.6,2.7,0.4878,82.0,0,0.9878,1984
17,Kareem Abdul-Jabbar,Los Angeles Lakers,80.0,31.4,2.5,0.578,21.3,0.608,8.9,3.0,3.3,0.6585,82.0,0.201,0.9756,1984
18,Jim Paxson,Portland Trail Blazers,81.0,26.5,1.6,0.521,19.5,0.573,9.5,2.2,2.9,0.5854,82.0,0,0.9878,1984
19,Isiah Thomas,Detroit Pistons,82.0,36.4,2.9,0.47,20.9,0.52,9.1,4.8,5.1,0.5976,82.0,0.151,1.0,1984
20,Kelly Tripucka,Detroit Pistons,76.0,28.3,1.1,0.46,16.8,0.53,5.7,-0.3,1.1,0.5976,82.0,0,0.9268,1984
21,Ralph Sampson,Houston Rockets,82.0,34.1,3.3,0.523,20.1,0.551,6.0,0.9,2.0,0.3537,82.0,0,1.0,1984
22,Sidney Moncrief,Milwaukee Bucks,79.0,32.1,1.7,0.5,19.8,0.591,12.7,4.1,4.7,0.6098,82.0,0.092,0.9634,1984
23,Marques Johnson,Milwaukee Bucks,74.0,31.5,2.2,0.502,19.4,0.534,8.6,3.6,3.8,0.6098,82.0,0.001,0.9024,1984
24,Joe Barry Carroll,Golden State Warriors,80.0,31.0,3.1,0.477,16.8,0.519,4.7,0.2,1.6,0.4512,82.0,0,0.9756,1984
25,Andrew Toney,Philadelphia 76ers,78.0,27.7,1.2,0.532,17.3,0.597,6.4,0.0,1.3,0.6341,82.0,0,0.9512,1984
26,Walter Davis,Phoenix Suns,78.0,28.1,1.6,0.52,18.5,0.559,6.2,1.0,1.9,0.5,82.0,0,0.9512,1984
