,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Michael Jordan,Chicago Bulls,78.0,44.8,3.6,0.515,29.7,0.564,17.2,11.2,10.2,0.6951,82.0,0.577,0.9512,1993
1,Dominique Wilkins,Atlanta Hawks,71.0,39.9,1.4,0.506,24.3,0.57,10.5,5.4,4.9,0.5244,82.0,0.055,0.8659,1993
2,Karl Malone,Utah Jazz,82.0,42.0,2.5,0.554,26.2,0.612,15.4,7.3,7.3,0.5732,82.0,0.01,1.0,1993
3,Hakeem Olajuwon,Houston Rockets,82.0,42.6,6.0,0.529,27.3,0.577,15.8,7.5,7.8,0.6707,82.0,0.66,1.0,1993
5,Charles Barkley,Phoenix Suns,76.0,42.9,2.6,0.545,25.9,0.596,14.4,7.8,7.1,0.7561,82.0,0.852,0.9268,1993
6,Patrick Ewing,New York Knicks,81.0,38.2,2.9,0.503,20.8,0.546,10.6,3.4,4.0,0.7317,82.0,0.366,0.9878,1993
7,Joe Dumars,Detroit Pistons,77.0,29.4,1.1,0.504,17.6,0.555,9.1,2.1,3.2,0.4878,82.0,0.001,0.939,1993
8,Shaquille O'Neal,Orlando Magic,81.0,39.2,4.2,0.562,22.9,0.584,10.4,3.5,4.3,0.5,82.0,0.031,0.9878,1993
9,David Robinson,San Antonio Spurs,82.0,38.8,4.7,0.503,24.2,0.569,13.2,6.4,6.8,0.5976,82.0,0.034,1.0,1993
10,Danny Manning,Los Angeles Clippers,79.0,32.0,2.7,0.512,19.6,0.565,7.9,2.0,2.8,0.5,82.0,0,0.9634,1993
11,Dražen Petrović,New Jersey Nets,70.0,28.5,1.5,0.551,17.3,0.605,8.4,1.8,2.5,0.5244,82.0,0,0.8537,1993
14,Tim Hardaway,Golden State Warriors,66.0,36.1,2.0,0.491,19.7,0.534,7.5,3.6,3.7,0.4146,82.0,0,0.8049,1993
15,Reggie Miller,Indiana Pacers,82.0,27.5,1.8,0.549,19.4,0.617,11.3,4.3,4.7,0.5,82.0,0,1.0,1993
17,Reggie Lewis,Boston Celtics,80.0,28.8,2.5,0.475,17.4,0.529,8.3,2.0,3.1,0.5854,82.0,0,0.9756,1993
18,Derrick Coleman,New Jersey Nets,76.0,35.5,2.9,0.469,21.2,0.54,9.5,4.3,4.4,0.5244,82.0,0,0.9268,1993
19,Hersey Hawkins,Philadelphia 76ers,81.0,28.5,2.1,0.522,18.3,0.593,8.5,2.4,3.3,0.3171,82.0,0,0.9878,1993
20,Brad Daugherty,Cleveland Cavaliers,71.0,34.8,1.5,0.571,22.0,0.635,12.7,4.9,4.7,0.6585,82.0,0.001,0.8659,1993
21,Nick Anderson,Orlando Magic,79.0,29.3,2.3,0.482,17.3,0.524,7.7,2.8,3.5,0.5,82.0,0,0.9634,1993
23,Doug West,Minnesota Timberwolves,80.0,25.3,1.4,0.518,14.2,0.559,4.3,-2.2,-0.1,0.2317,82.0,0,0.9756,1993
24,Mahmoud Abdul-Rauf,Denver Nuggets,81.0,26.2,1.1,0.475,15.6,0.515,5.1,-0.1,1.3,0.439,82.0,0,0.9878,1993
25,Jeff Hornacek,Philadelphia 76ers,79.0,30.3,2.0,0.509,18.2,0.553,6.3,1.7,2.6,0.3171,82.0,0,0.9634,1993
26,Clifford Robinson,Portland Trail Blazers,82.0,27.9,3.2,0.48,18.8,0.517,6.8,2.3,2.8,0.622,82.0,0,1.0,1993
