,Player,Team,G,Par,Stocks,eFG%,MP,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Kobe Bryant,Los Angeles Lakers,80.0,45.2,2.2,0.491,3277.0,28.0,0.559,15.3,7.6,8.0,0.5488,82.0,0.386,0.9756,2006
1,Allen Iverson,Philadelphia 76ers,72.0,43.6,2.0,0.467,3103.0,25.9,0.543,10.6,4.8,5.3,0.4634,82.0,0.001,0.878,2006
2,LeBron James,Cleveland Cavaliers,79.0,45.0,2.4,0.515,3361.0,28.1,0.568,16.3,9.1,9.4,0.6098,82.0,0.55,0.9634,2006
3,Gilbert Arenas,Washington Wizards,80.0,38.9,2.3,0.507,3384.0,23.8,0.581,13.6,5.4,6.3,0.5122,82.0,0,0.9756,2006
4,Dwyane Wade,Miami Heat,75.0,39.6,2.7,0.499,2892.0,27.6,0.577,14.4,7.7,7.1,0.6341,82.0,0.07,0.9146,2006
5,Paul Pierce,Boston Celtics,79.0,38.2,1.8,0.509,3084.0,23.6,0.582,11.5,4.8,5.3,0.4024,82.0,0,0.9634,2006
6,Dirk Nowitzki,Dallas Mavericks,81.0,38.4,1.7,0.515,3089.0,28.1,0.589,17.7,8.1,7.9,0.7317,82.0,0.435,0.9878,2006
7,Carmelo Anthony,Denver Nuggets,80.0,34.1,1.6,0.493,2941.0,22.0,0.563,9.4,2.7,3.5,0.5366,82.0,0,0.9756,2006
8,Michael Redd,Milwaukee Bucks,80.0,32.6,1.3,0.504,3130.0,21.2,0.574,10.8,3.8,4.6,0.4878,82.0,0,0.9756,2006
9,Ray Allen,Seattle SuperSonics,78.0,33.1,1.5,0.544,3022.0,22.2,0.59,9.5,4.4,4.9,0.4268,82.0,0,0.9512,2006
10,Elton Brand,Los Angeles Clippers,79.0,37.3,3.5,0.527,3099.0,26.5,0.58,14.8,6.7,6.8,0.5732,82.0,0.04,0.9634,2006
12,Vince Carter,New Jersey Nets,79.0,34.3,1.9,0.471,2906.0,21.6,0.536,9.3,5.1,5.2,0.5976,82.0,0,0.9634,2006
