,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,LeBron James,Cleveland Cavaliers,75.0,45.1,2.9,0.518,29.1,0.568,15.2,10.9,9.8,0.5488,82.0,0.348,0.9146,2008
1,Kobe Bryant,Los Angeles Lakers,82.0,40.0,2.3,0.503,24.2,0.576,13.8,5.8,6.3,0.6951,82.0,0.873,1.0,2008
2,Allen Iverson,Denver Nuggets,82.0,36.5,2.1,0.488,20.9,0.567,11.6,2.7,4.0,0.6098,82.0,0,1.0,2008
3,Carmelo Anthony,Denver Nuggets,77.0,36.5,1.8,0.511,21.1,0.568,8.2,1.6,2.5,0.6098,82.0,0.002,0.939,2008
4,Amar'e Stoudemire,Phoenix Suns,79.0,35.8,2.9,0.592,27.6,0.656,14.6,4.8,4.6,0.6707,82.0,0.021,0.9634,2008
7,Dirk Nowitzki,Dallas Mavericks,77.0,35.7,1.6,0.51,24.6,0.585,12.9,6.6,6.0,0.622,82.0,0.004,0.939,2008
8,Michael Redd,Milwaukee Bucks,72.0,30.4,1.1,0.495,18.8,0.559,5.8,1.5,2.4,0.3171,82.0,0,0.878,2008
9,Richard Jefferson,New Jersey Nets,82.0,29.9,1.2,0.495,17.4,0.571,7.6,0.3,1.8,0.4146,82.0,0,1.0,2008
10,Chris Bosh,Toronto Raptors,67.0,33.6,1.9,0.499,23.8,0.588,10.1,4.4,3.9,0.5,82.0,0,0.8171,2008
11,Corey Maggette,Los Angeles Clippers,70.0,30.4,1.1,0.497,19.3,0.595,6.9,1.9,2.4,0.2805,82.0,0,0.8537,2008
13,Baron Davis,Golden State Warriors,82.0,34.1,2.8,0.483,19.8,0.523,8.7,3.6,4.5,0.5854,82.0,0,1.0,2008
14,Jason Richardson,Charlotte Bobcats,82.0,30.3,2.1,0.524,18.4,0.554,7.4,3.0,4.0,0.3902,82.0,0,1.0,2008
15,Joe Johnson,Atlanta Hawks,82.0,32.0,1.2,0.489,17.3,0.535,7.0,1.2,2.7,0.4512,82.0,0,1.0,2008
16,Tracy McGrady,Houston Rockets,66.0,32.6,1.5,0.452,18.4,0.487,5.8,2.9,3.1,0.6707,82.0,0.015,0.8049,2008
17,Antawn Jamison,Washington Wizards,79.0,33.1,1.7,0.478,20.3,0.525,9.2,1.7,2.9,0.5244,82.0,0.001,0.9634,2008
18,Vince Carter,New Jersey Nets,76.0,32.4,1.6,0.494,18.8,0.55,7.7,2.4,3.3,0.4146,82.0,0,0.9268,2008
19,Carlos Boozer,Utah Jazz,81.0,34.4,1.7,0.547,21.9,0.581,10.2,2.8,3.5,0.6585,82.0,0.001,0.9878,2008
20,Chris Paul,New Orleans Hornets,80.0,36.7,2.8,0.524,28.3,0.576,17.8,10.4,9.3,0.6829,82.0,0.71,0.9756,2008
21,Al Jefferson,Minnesota Timberwolves,82.0,33.5,2.4,0.5,22.7,0.535,7.7,1.6,2.6,0.2683,82.0,0,1.0,2008
22,Dwight Howard,Orlando Magic,82.0,36.2,3.0,0.599,22.9,0.619,12.9,2.8,3.7,0.6341,82.0,0.048,1.0,2008
23,Jamal Crawford,New York Knicks,80.0,28.2,1.2,0.473,16.0,0.528,5.0,0.3,1.9,0.2805,82.0,0,0.9756,2008
24,David West,New Orleans Hornets,76.0,31.8,2.1,0.484,19.9,0.535,8.4,1.5,2.6,0.6829,82.0,0,0.9268,2008
27,Kevin Durant,Seattle SuperSonics,80.0,27.1,1.9,0.451,15.8,0.519,2.3,-0.1,1.3,0.2439,82.0,0,0.9756,2008
28,Monta Ellis,Golden State Warriors,81.0,29.1,1.8,0.536,19.0,0.58,9.0,1.6,2.8,0.5854,82.0,0,0.9878,2008
29,Rudy Gay,Memphis Grizzlies,81.0,28.3,2.4,0.511,17.4,0.546,5.0,0.8,2.1,0.2683,82.0,0,0.9878,2008
30,Stephen Jackson,Golden State Warriors,73.0,28.6,1.7,0.481,14.9,0.536,4.6,-0.2,1.3,0.5854,82.0,0,0.8902,2008
31,Josh Howard,Dallas Mavericks,76.0,29.1,1.2,0.482,18.3,0.534,8.0,1.2,2.2,0.622,82.0,0,0.9268,2008
32,Andre Iguodala,Philadelphia 76ers,82.0,30.1,2.7,0.495,19.0,0.543,9.6,4.0,4.9,0.4878,82.0,0,1.0,2008
33,Danny Granger,Indiana Pacers,80.0,27.8,2.3,0.517,16.7,0.571,7.3,1.4,2.5,0.439,82.0,0,0.9756,2008
