,Player,Team,G,PTS,AST,TRB,Stocks,eFG%,MP,PER,TS%,USG%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Michael Jordan,Chicago Bulls,82.0,33.6,6.3,6.9,3.5,0.55,3197.0,31.2,0.606,33.7,19.0,11.2,10.6,0.6707,82.0,0.613,1.0,1990
1,Karl Malone,Utah Jazz,82.0,31.0,2.8,11.1,2.1,0.567,3122.0,27.2,0.626,32.6,15.9,6.4,6.6,0.6707,82.0,0.233,1.0,1990
2,Patrick Ewing,New York Knicks,82.0,28.6,2.2,10.9,5.0,0.551,3165.0,25.8,0.599,29.4,13.5,5.5,6.0,0.5488,82.0,0.176,1.0,1990
3,Tom Chambers,Phoenix Suns,81.0,27.2,2.3,7.0,1.7,0.508,3046.0,20.9,0.579,28.8,11.2,2.3,3.3,0.6585,82.0,0.013,0.9878,1990
4,Dominique Wilkins,Atlanta Hawks,80.0,26.7,2.5,6.5,2.2,0.502,2888.0,24.6,0.556,30.4,11.1,5.4,5.4,0.5,82.0,0,0.9756,1990
5,Charles Barkley,Philadelphia 76ers,79.0,25.2,3.9,11.5,2.5,0.608,3085.0,27.1,0.661,24.0,17.3,8.2,8.0,0.6463,82.0,0.667,0.9634,1990
6,Chris Mullin,Golden State Warriors,78.0,25.1,4.1,5.9,2.2,0.57,2830.0,22.7,0.643,24.8,10.2,5.0,5.0,0.4512,82.0,0,0.9512,1990
7,Reggie Miller,Indiana Pacers,82.0,24.6,3.8,3.6,1.5,0.572,3192.0,20.8,0.645,24.2,12.1,4.0,4.8,0.5122,82.0,0,1.0,1990
8,Larry Bird,Boston Celtics,75.0,24.3,7.5,9.5,2.2,0.495,2944.0,21.9,0.546,27.4,9.5,5.3,5.5,0.6341,82.0,0.005,0.9146,1990
9,Jeff Malone,Washington Bullets,75.0,24.3,3.2,2.7,0.7,0.491,2567.0,18.5,0.529,29.4,5.2,0.0,1.3,0.378,82.0,0,0.9146,1990
10,Hakeem Olajuwon,Houston Rockets,82.0,24.3,2.9,14.0,6.7,0.501,3124.0,24.1,0.541,28.1,11.2,5.8,6.2,0.5,82.0,0.07,1.0,1990
11,David Robinson,San Antonio Spurs,82.0,24.3,2.0,12.0,5.6,0.531,3002.0,26.3,0.597,26.6,15.1,6.9,6.8,0.6829,82.0,0.111,1.0,1990
13,Clyde Drexler,Portland Trail Blazers,73.0,23.3,5.9,6.9,2.7,0.505,2683.0,22.2,0.551,25.5,11.6,7.3,6.3,0.7195,82.0,0.003,0.8902,1990
14,Tony Campbell,Minnesota Timberwolves,82.0,23.2,2.6,5.5,1.8,0.46,3164.0,17.1,0.52,29.0,5.3,0.3,1.8,0.2683,82.0,0,1.0,1990
17,Kevin Johnson,Phoenix Suns,74.0,22.5,11.4,3.6,1.5,0.502,2782.0,22.8,0.585,25.0,11.6,5.0,4.9,0.6585,82.0,0,0.9024,1990
18,Terry Cummings,San Antonio Spurs,81.0,22.4,2.7,8.4,2.0,0.481,2821.0,19.6,0.527,28.3,8.7,1.7,2.7,0.6829,82.0,0,0.9878,1990
19,Bernard King,Washington Bullets,82.0,22.4,4.6,4.9,0.7,0.488,2687.0,18.8,0.545,29.4,5.5,0.5,1.7,0.378,82.0,0,1.0,1990
20,Magic Johnson,Los Angeles Lakers,79.0,22.3,11.5,6.6,2.1,0.526,2937.0,26.6,0.622,24.8,16.5,10.1,8.9,0.7683,82.0,0.691,0.9634,1990
21,Wayman Tisdale,Sacramento Kings,79.0,22.3,1.4,7.5,1.4,0.525,2937.0,18.1,0.565,25.1,7.0,-0.3,1.3,0.2805,82.0,0,0.9634,1990
22,Mitch Richmond,Golden State Warriors,78.0,22.1,2.9,4.6,1.6,0.51,2799.0,17.0,0.576,24.1,5.2,-0.4,1.2,0.4512,82.0,0,0.9512,1990
23,Xavier McDaniel,Seattle SuperSonics,69.0,21.3,2.5,6.5,1.6,0.498,2432.0,17.9,0.533,26.9,5.4,0.6,1.6,0.5,82.0,0,0.8415,1990
