,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,George Gervin,San Antonio Spurs,78.0,40.9,2.4,0.536,24.0,0.587,10.6,3.9,4.4,0.5,82.0,0.086,0.9512,1980
2,Adrian Dantley,Utah Jazz,68.0,38.4,1.6,0.576,24.3,0.635,10.5,3.7,3.8,0.2927,82.0,0,0.8293,1980
3,Julius Erving,Philadelphia 76ers,78.0,38.9,4.0,0.52,25.4,0.568,12.5,7.6,6.8,0.7195,82.0,0.143,0.9512,1980
4,Moses Malone,Houston Rockets,82.0,42.1,2.3,0.502,24.1,0.56,11.9,2.1,3.2,0.5,82.0,0.005,1.0,1980
5,Kareem Abdul-Jabbar,Los Angeles Lakers,82.0,40.1,4.4,0.604,25.3,0.639,14.8,7.2,7.3,0.7317,82.0,0.665,1.0,1980
6,Dan Issel,Denver Nuggets,82.0,35.0,1.8,0.506,22.2,0.571,11.5,3.3,3.9,0.3659,82.0,0,1.0,1980
7,Elvin Hayes,Washington Bullets,81.0,35.7,3.1,0.455,17.2,0.492,6.2,-0.4,1.2,0.4756,82.0,0,0.9878,1980
9,Mike Mitchell,Cleveland Cavaliers,82.0,30.5,1.8,0.523,19.1,0.557,8.3,1.2,2.2,0.4512,82.0,0,1.0,1980
10,Gus Williams,Seattle SuperSonics,82.0,30.3,2.9,0.484,20.6,0.529,11.6,4.7,5.0,0.6829,82.0,0.007,1.0,1980
11,Paul Westphal,Phoenix Suns,82.0,29.3,1.9,0.535,21.1,0.593,10.5,3.9,4.0,0.6707,82.0,0,1.0,1980
12,Bill Cartwright,New York Knicks,82.0,32.6,1.8,0.547,17.9,0.608,9.7,0.6,2.1,0.4756,82.0,0,1.0,1980
13,Marques Johnson,Milwaukee Bucks,77.0,32.6,2.2,0.545,22.0,0.585,11.5,5.1,4.8,0.5976,82.0,0,0.939,1980
14,Walter Davis,Phoenix Suns,75.0,29.6,1.8,0.563,21.3,0.608,8.3,3.6,3.3,0.6707,82.0,0,0.9146,1980
16,Larry Bird,Boston Celtics,82.0,36.2,2.3,0.494,20.5,0.538,11.2,4.5,4.8,0.7439,82.0,0.068,1.0,1980
18,Mike Newlin,New Jersey Nets,78.0,28.3,1.6,0.477,17.7,0.54,6.5,1.3,2.1,0.4146,82.0,0,0.9512,1980
19,Ray Williams,New York Knicks,82.0,32.1,2.3,0.499,21.6,0.546,8.2,3.9,3.9,0.4756,82.0,0,1.0,1980
20,Reggie Theus,Chicago Bulls,82.0,30.5,1.6,0.495,17.0,0.579,6.9,0.8,2.1,0.3659,82.0,0,1.0,1980
21,Larry Kenon,San Antonio Spurs,78.0,33.0,1.6,0.486,17.2,0.527,5.4,-0.4,1.1,0.5,82.0,0,0.9512,1980
22,Calvin Murphy,Houston Rockets,76.0,25.9,2.0,0.493,16.8,0.543,7.2,0.7,1.8,0.5,82.0,0,0.9268,1980
23,Jamaal Wilkes,Los Angeles Lakers,82.0,29.4,1.9,0.536,17.6,0.563,10.0,1.3,2.6,0.7317,82.0,0,1.0,1980
24,Calvin Natt,Portland Trail Blazers,78.0,31.0,1.7,0.48,17.0,0.524,7.1,0.4,1.8,0.4634,82.0,0,0.9512,1980
25,John Drew,Atlanta Hawks,80.0,26.7,1.4,0.453,17.8,0.532,6.4,-0.3,1.0,0.6098,82.0,0,0.9756,1980
26,John Long,Detroit Pistons,69.0,27.3,2.3,0.506,16.4,0.535,3.6,-0.4,1.0,0.1951,82.0,0,0.8415,1980
28,Mickey Johnson,Indiana Pacers,82.0,31.6,3.3,0.465,20.3,0.528,7.3,2.8,3.2,0.4512,82.0,0,1.0,1980
