,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
1,Luka Dončić,Dallas Mavericks,70.0,52.9,1.9,0.573,28.1,0.617,12.0,9.9,8.0,0.6098,82.0,0.572,0.8537,2024
2,Giannis Antetokounmpo,Milwaukee Bucks,73.0,48.4,2.3,0.624,29.9,0.649,13.2,9.0,7.2,0.5976,82.0,0.194,0.8902,2024
3,Shai Gilgeous-Alexander,Oklahoma City Thunder,75.0,41.8,2.9,0.567,29.3,0.636,14.6,9.0,7.1,0.6951,82.0,0.646,0.9146,2024
4,Jalen Brunson,New York Knicks,77.0,39.0,1.1,0.543,23.4,0.592,11.2,5.8,5.4,0.6098,82.0,0.143,0.939,2024
5,Devin Booker,Phoenix Suns,68.0,38.5,1.3,0.55,21.9,0.611,9.2,3.0,3.1,0.5976,82.0,0,0.8293,2024
6,Kevin Durant,Phoenix Suns,75.0,38.7,2.1,0.581,21.2,0.626,8.3,4.0,4.3,0.5976,82.0,0.001,0.9146,2024
7,Jayson Tatum,Boston Celtics,74.0,39.9,1.6,0.552,22.3,0.604,10.4,5.1,4.7,0.7805,82.0,0.087,0.9024,2024
8,De'Aaron Fox,Sacramento Kings,74.0,36.8,2.4,0.534,20.1,0.567,6.5,2.7,3.2,0.561,82.0,0,0.9024,2024
10,Stephen Curry,Golden State Warriors,74.0,36.0,1.1,0.573,20.6,0.616,7.2,5.2,4.4,0.561,82.0,0,0.9024,2024
11,Nikola Jokić,Denver Nuggets,79.0,47.8,2.3,0.612,31.0,0.65,17.0,13.2,10.6,0.6951,82.0,0.935,0.9634,2024
12,Anthony Edwards,Minnesota Timberwolves,79.0,36.4,1.8,0.522,19.7,0.575,7.5,3.3,3.7,0.6829,82.0,0.018,0.9634,2024
13,Tyrese Maxey,Philadelphia 76ers,70.0,35.8,1.5,0.524,19.8,0.573,8.1,3.1,3.4,0.5732,82.0,0,0.8537,2024
14,LeBron James,Los Angeles Lakers,71.0,41.3,1.8,0.599,23.7,0.63,8.5,6.5,5.4,0.5732,82.0,0,0.8659,2024
18,Anthony Davis,Los Angeles Lakers,76.0,40.8,3.5,0.567,25.8,0.621,11.8,5.1,4.9,0.5732,82.0,0,0.9268,2024
19,Damian Lillard,Milwaukee Bucks,73.0,35.7,1.2,0.51,19.6,0.59,7.7,2.1,2.7,0.5976,82.0,0,0.8902,2024
20,DeMar DeRozan,Chicago Bulls,79.0,33.6,1.7,0.507,19.7,0.584,9.2,1.8,2.8,0.4756,82.0,0,0.9634,2024
24,Kawhi Leonard,Los Angeles Clippers,68.0,33.4,2.5,0.585,23.2,0.626,8.9,5.5,4.4,0.622,82.0,0,0.8293,2024
26,Jaylen Brown,Boston Celtics,70.0,32.1,1.7,0.557,18.6,0.58,5.9,0.7,1.6,0.7805,82.0,0,0.8537,2024
27,Zion Williamson,New Orleans Pelicans,70.0,33.7,1.8,0.573,22.8,0.61,7.5,3.8,3.3,0.5976,82.0,0,0.8537,2024
29,Paolo Banchero,Orlando Magic,80.0,34.9,1.5,0.497,17.3,0.546,5.3,1.3,2.3,0.5732,82.0,0,0.9756,2024
30,Paul George,Los Angeles Clippers,74.0,31.3,2.0,0.569,19.3,0.613,7.3,3.2,3.3,0.622,82.0,0,0.9024,2024
